job_code,name
212,Directx
132,취약점진단
213,Django
133,컴퓨터비전
214,Docker
134,크로스브라우징
215,Eclipse
135,크롤링
216,ECMAScript
136,클라우드
217,ElasticStack
137,텍스트마이닝
218,Flask
138,트러블슈팅
219,FLEX
139,펌웨어
220,Flutter
140,플러그인
221,GCP
141,핀테크
222,Git
142,API
223,GoLang
143,APM
224,GraphQL
144,AR(증강현실)
225,Groovy
145,DBMS
226,Gulp
146,DevOps
227,Hadoop
147,DLP
228,HBase
148,DW
229,HTML
149,ERP
230,HTML5
150,ETL
231,IaaS
151,FPGA
232,iBATIS
152,GIS
233,Ionic
153,H/W
234,iOS
154,IDC
235,Java
155,IIS
236,Javascript
156,IoT
237,Jenkins
157,ISMS
238,JPA
158,MCU
239,jQuery
159,Nginx
240,JSP
160,NLP(자연어처리)
241,Kafka
161,NLU(자연어이해)
242,Keras
162,OCR
243,Kotlin
163,OLAP
244,Kubernetes
164,RDBMS
245,LabVIEW
165,RPA
246,Linux
166,RTOS
247,Logstash
167,S/W
248,Lucene
168,SAP
249,MacOS
169,SDK
250,MariaDB
170,SOA
251,Matlab
171,STT
252,Maven
172,TTS
253,MFC
173,UTM
254,MongoDB
174,VDI
255,MSSQL
175,VMware
256,MyBatis
176,VoIP
257,MySQL
177,VPN
258,Node.js
178,VR(가상현실)
259,NoSQL
179,WCF
260,Objective-C
180,아키텍쳐
261,OpenCV
181,AI(인공지능)
262,OpenGL
182,Windows
263,OracleDB
183,인터페이스
264,OSS
265,PaaS
266,Pandas
267,Perl
268,PHP
269,PL/SQL
270,PostgreSQL
271,Pro-C
272,Python
273,Pytorch
274,QGIS
275,Qt
276,R
277,React
278,React-Native
279,ReactJS
280,Redis
281,Redux
282,RestAPI
283,Ruby
284,SaaS
285,SAS
286,Scala
287,Servlet
288,Solaris
289,Spark
290,Splunk
291,Spring
292,SpringBoot
293,SQL
294,SQLite
295,Storm
296,Struts
297,SVN
298,Swift
299,Sybase
300,Tensorflow
301,Tomcat
302,TypeScript
303,Ubuntu
304,Unity
305,Unix
306,Unreal
307,VB.NET
308,Verilog
309,Vert.x
310,VisualBasic
311,VisualC·C++
312,Vue.js
313,WAS
314,WebGL
315,Webpack
316,WebRTC
317,WPF
318,XML
319,아두이노
320,임베디드리눅스
2222,인테리어
1475,가구디자인
1530,2D디자인
1593,3DMax
1476,건축디자인
1531,3D디자인
1594,드림위버
1477,게임디자인
1532,가방
1595,라이노
1478,경관디자인
1533,간판
1596,베가스
1479,공간디자인
1534,남성의류
1597,스케치업
1480,공공디자인
1535,니트
1598,애프터이펙트
1536,데님
1599,인디자인
1482,공예디자인
1537,도트/픽셀아트
1600,일러스트
1483,광고디자인
1538,드로잉
1601,지브러쉬
1484,그래픽디자인
1539,라이팅
1602,코렐드로우
1485,그림작가
1540,렌더링
1603,파이널컷
1486,디지털디자인
1541,리플렛
